Model,pub,C,D,N_epoch,Confidence,Training compute notes
Gemma 7B,2024-02-21,3.07e+23,6000.0,8.538074112,Confident,"6ND aproximation 6*8.54B*6T = 3.07e23
""Gemma 2B and 7B are trained on 2T and 6T tokens respectively of primarily-English data from web documents, mathematics, and code.""

As confirmation: ""We estimate the carbon emissions from pretraining the Gemma models to be ∼ 131 𝑡𝐶𝑂2𝑒𝑞. ""

U.S. avg CO2 per kWh is ~0.87lbs 
131 tCO2 * 2000 lb/t * (1 kWh/0.87lb) = 3.01e5 kWh

Per SemiAnalysis TPU v5e uses ~ 5x less power than H100, so ~140 W TDP
3.01e5 kWh * 1000 W/kW * 1 TPUv5e/140 W  = 2.15e6 TPUv5e-hours

In bf16 precision, TPUv5e has peak performance of 197 TF/s, so:
2.15e6 * 3600 * 197e12 * 0.3 = 4.57e23"
Gemma 2B,2024-02-21,4.5115822e+22,3000.0,2.50643456,Confident,"6ND = 6*2506434560.00 parameters * 3*10^12 training tokens = 4.5115822e+22

(assuming 1 epoch)"
Qwen1.5-72B,2024-02-04,1.3e+24,3000.0,72.0,Confident,"3T training tokens: https://github.com/QwenLM/Qwen2/issues/97 

6 * 72 billion * 3 trillion = ~1.3e24"
Qwen1.5-7B,2024-02-04,1.68e+23,,7.0,Confident,6 FLOP / parameter / token * 7*10^9 parameters * 4*10^12 tokens =  1.68e+23 FLOP
Qwen1.5-14B,2024-02-04,3.36e+23,,14.0,Confident,6 FLOP / parameter / token * 14*10^9 parameters * 4*10^12 tokens =  3.36e+23 FLOP
OLMo-7B,2024-02-01,1.0332e+23,2000.0,7.0,Confident,"direct calculation:
6*7B*2.46trillion=1.0332 × 10^23

(calculation also reporoduced by the developers in https://arxiv.org/pdf/2501.00656)"
OLMo-1B,2024-02-01,1.2e+22,2000.0,1.0,Confident,"direct calculation:
6*1B*2trillion=1.2e22

(calculation also reporoduced by the developers in https://arxiv.org/pdf/2501.00656)"
LLaVA-NeXT-34B (LLaVA-1.6),2024-01-30,2.5878528e+20,0.089338,34.75,Likely,"2.6e20 = 32 * 312e12 * 0.3 * 24* 3600 = num gpus * peak flops * assumed utilization rate * time in seconds
""The largest 34B variant finishes training in ~1 day with 32 A100s."""
DeepSeek Coder 33B,2024-01-25,3.96e+23,2000.0,33.0,Likely,"""Step 1: Initially pre-trained with a dataset consisting of 87% code, 10% code-related language (Github Markdown and StackExchange), and 3% non-code-related Chinese language. Models are pre-trained using 1.8T tokens and a 4K window size in this step.
Step 2: Further Pre-training using an extended 16K window size on an additional 200B tokens, resulting in foundational models (DeepSeek-Coder-Base).
Step 3: Instruction Fine-tuning on 2B tokens of instruction data, resulting in instruction-tuned models (DeepSeek-Coder-Instruct).""

This means it was trained on 2T tokens. 2T * 33B * 6 = 3.96e23"
DeepSeek Coder 1.3B,2024-01-25,1.56e+22,2000.0,1.3,Likely,2T tokens * 1.3B parameters * 6 FLOP / parameter / token = 15.6 * 10^21 = 1.56 * 10^22 FLOP
DeepSeek Coder 6.7B,2024-01-25,8.04e+22,2000.0,6.7,Likely,2T tokens * 6.7B parameters * 6 FLOP / parameter / token = 8.04*10^22 FLOP
StableLM-2-1.6B,2024-01-18,1.92e+22,2000.0,1.644417024,Confident,"6 * 1.6B * 2T = 19200000000000000000000
"
DeciCoder-6B,2024-01-15,7.56e+21,,6.0,Likely,"Python, Java, Javascript, Rust, C++, C, and C# subset of Starcoder Training Dataset

From the Starcoder paper, that's 7.9% + 11.3% + 8.4% + 1.2% + 6.4% + 7% + 5.8% of the total, so 48% of 815 GB, say 410 GB of code. If we assume they trained for 2 epochs, 820 GB.

820 GB * 200M word per GB = 1.6e11 words
1.6e11 / 0.75 = 2.1e11 tokens

C = 6ND = 6 * 2.1e11 * 6e9 = 7.6e21"
InternLM2-20B,2024-01-12,3.12e+23,2600.0,20.0,Confident,6ND = 6 * 2600000000000 * 20000000000 = 3.12e+23
DeepSeekMoE-16B,2024-01-11,3.4e+22,2000.0,16.0,Likely,"""With the DeepSeekMoE architecture, we scale up our MoE model to a larger scale with 16B total parameters and train it on 2T tokens""

""Evaluation results reveal that with only about 40% of computations, DeepSeekMoE 16B achieves comparable performance with DeepSeek 7B (DeepSeek-AI, 2024), a dense model trained on the same 2T corpus""

40% * 7B = 2.8B, so 2.8B effective parameters (see also Table 4)

2.8B * 2T * 6 ~= 3.4e22

Table 4 shows 74.4T FLOPs per 4k tokens. Over 2T tokens, this is 3.72e22 FLOPs (unclear whether this is FLOPs for training or inference)"
Stable Code 3B,2024-01-09,2.106e+22,,2.79643136,Likely,"6ND = 2.7e9 * 1.3e12 * 6 = 2,106E+22
""stable-code-3b is a 2.7B billion parameter decoder-only language model pre-trained on 1.3 trillion tokens of diverse textual and code datasets. """
DeepSeek LLM 67B,2024-01-05,8.04e+23,2000.0,67.0,Confident,67B parameters * 2T tokens * 6 FLOP / token / parameter = 8.04e23 FLOP
DeepSeek LLM 7B,2024-01-05,8.4e+22,2000.0,7.0,Confident,7B parameters * 2T tokens * 6 FLOP / parameter / token = 84*10^21 FLOP
YaYi 2.0,2023-12-22,4.77e+23,,30.0,Likely,1000 A800 GPUs
Poro 34B,2023-12-14,2.052e+23,1000.0,34.2,Confident,"6ND = 6*1T*34.2B= 2.04e+23

""This allowed total training cycle throughput of 49618 TFLOPs and 174378 tokens/second.""

the training took around 18 months (https://hplt-project.org/deliverables)
49618*18*30*24*3600*10^12=2.3149774e+24

"
Phi-2,2023-12-12,2.27e+22,250.0,2.7,Confident,"2.7B params, trained on 1.4T tokens

2.7 billion * 1.4 trillion * 6 = 2.27e22

96*14 A100-days

14 * 96 * 312 trillion * 24 * 3600 * 0.3 = 1.09e22"
CRYSTALCODER,2023-12-11,5.55564e+22,1382.0,6.7,Confident,6*6700000000.00*1382000000000 = 5.55564e+22
Amber,2023-12-11,4.7898069e+22,,6.7,Confident,"6*6,7*10^9*1259130000000=5.0617026e+22

312000000000000*600.5*3600*224*0.3 = 4.5325164e+22

Sqrt(4.5325164e+22*5.0617026e+22) = 4.7898069e+22"
XVERSE-65B-2,2023-12-08,1.24800000000001e+24,2600.0,65.0,Confident,C = 6ND = 6 * 3.2T tokens * 65B params = 1.248e24 FLOP
SEA-LION V1 3B,2023-12-01,2.1893426e+22,980.0,3.0,Confident,"6 FLOP / parameter / token * 3B parameters * 980B tokens = 1.764 × 10^22 FLOP

312000000000000 FLOP / GPU / sec * 336 hours * 3600 sec / hour * 240 GPUs * 0.3 [assumed utilization] = 2.7172454e+22 FLOP

sqrt(1.764 × 10^22 *  2.7172454e+22) = 2.1893426e+22 FLOP"
SEA-LION V1 7B,2023-12-01,4.3297598e+22,980.0,7.0,Confident,"6 FLOP / parameter / token * 7B parameters * 980B tokens = 4.116e+22 FLOP

312000000000000 FLOP / GPU / sec * 256 GPUs * 22 days * 24 hours / day * 3600 sec / hour * 0.3 [assumed utilization] = 4.5546209e+22 FLOP

sqrt(4.116e+22*4.5546209e+22) = 4.3297598e+22 FLOP"
Qwen-72B,2023-11-30,1.3e+24,3000.0,72.0,Confident,"72 billion params, 3 trillion tokens
72b * 3T * 6 = 1.3e24"
Yuan 2.0,2023-11-27,1.78e+23,,102.6,Confident,"Trained on 288B tokens

6*102.6b*288b = 1.78e23"
StripedHyena-Hessian-7B,2023-11-27,8e+19,,7.0,Confident,see Figure at https://www.together.ai/blog/stripedhyena-7b
Nemotron-3-8B,2023-11-15,1.8e+23,3800.0,8.0,Confident,"https://huggingface.co/nvidia/nemotron-3-8b-base-4k

""This model was trained on a dataset containing 3.8 Trillion tokens of text""

8 billion * 3.8 trillion * 6 = 1.8e23

Also, using the hardware method: ""1,024 A100s were used for 19 days to train the model.""

19*1024 * 312 trillion * 24 * 3600 * 0.3 = 1.57e23"
HGRN 1B (WT 103),2023-11-08,1.96608e+19,100.0,1.0,Confident,6ND = 6* 3 276 800 000 *10^9 = 1.96608e+19
Jais-30b (phase 1)																												 ,2023-11-08,1.0372049e+23,427.0,30.0,Confident,"6 FLOP / token / parameter * 30 * 10^9 parameters * 427 * 10^9 tokens [ see dataset size notes] = 7.686e+22 FLOP

7500000000000000 FLOP / chip / sec * 16 chips *  1080 hours * 3600 sec / hour * 0.3 [assumed utilization] = 1.39968e+23 FLOP

sqrt(7.686e+22*1.39968e+23) = 1.0372049e+23 FLOP"
Yi-34B,2023-11-02,6.1e+23,3100.0,34.0,Confident,"""The dataset we use contains Chinese & English only. We used approximately 3T tokens"" sounds like this means it was trained on 3T tokens, not necessarily that the dataset contains 3T tokens?

If so, 34b * 3T * 6 = 6.1e23"
Yi 6B,2023-11-02,1.26e+23,,6.0,Confident,6*7*10^9*3*10^12 = 1.26e+23
Nanbeige-16B,2023-11-01,2.4e+23,2500.0,16.0,Likely,"""It uses 2.5T Tokens for pre-training"". I think that's the number of tokens the model was trained on, not the dataset size, but I'm not sure.

16 billion * 2.5 trillion * 6 = 2.4e23"
Calm2-7B,2023-11-01,5.46e+22,1300.0,7.0,Confident,"6*7B*1.3T = 54600000000000000000000
6ND aproximation"
BlueLM 7B,2023-10-31,1.0920000000001e+23,,7.0,Confident,"C = 6DN = 6 * 2.6T * 7B = 1.092*10^23 FLOP
https://www.wolframalpha.com/input?i=6*7+billion+*+2.6+trillion
(assuming 1 epoch)

Figure 1 gives compute of 10^12 FLOPs  but this seems improbable

Training over 2.59T tokens took approximately 26 days using the vivolm system, with a throughput of 3150 tokens/sec/GPU."
Skywork-13B,2023-10-30,2.5e+23,3200.0,13.0,Confident,"""Our Skywork-13B is trained on a cluster of 64 NVIDIA-HGX-A800 nodes, a total of 512 A800-80G SXM GPUs... The training process of Skywork-13B spanned a total of 39 days.""

They note that ""we achieved a token throughput of 1873 per GPU per second and a model flops utilization (MFU) of 56.5%... "". 

""MFU"" was coined in the Palm paper (https://arxiv.org/pdf/2204.02311.pdf) and only counts operations used to train the model, not all operations observed on the hardware. MFU is lower than traditionally measured utilization.

Using the 56.5% number, and a peak tensor performance of 623.8 TFLOPS for the A800, this suggests 512 * 623.8 TFLOPS * 39 days * 86400 seconds/day * 0.565 = 6.08e23 FLOP.

Based on C=6ND, with 13B parameters and 3.2T tokens, we have C=6*(13B)*(3.2T)=2.5e23 FLOP.

Since the reported MFU is quite high, and would imply a higher compute usage than 6ND, it seems they may have trained on mixed precision and with the GPUs not always operating in the 623.8 TFLOPS mode."
Stockmark-13B,2023-10-23,1.716e+22,220.0,13.2,Likely,"6ND = 6*13B*220B = 17160000000000000000000
""Stockmark-13b is a 13 billion parameter LLM pretrained from scratch based on Japanese corpus of about 220B tokens. This model is developed by Stockmark Inc.""
"
Jiutian,2023-10-12,1.668e+23,2000.0,13.9,Likely,6*13.9e9*2e12=1.668e23
CodeFuse-13B,2023-10-10,3.09e+23,1000.0,13.0,Confident,"""CodeFuse-13B was trained using 512 Nvidia A100 GPU cards, with
a Hardware FLOPs Utilization (HFU) of approximately 60%. The
training process took approximately 40 days to complete."" Later they state utilization of 56%

512 * 312 trillion * 40 * 24 * 3600 * 0.56 = 3.09e23

Using params*tokens, we have 13 billion * 1 trillion * 6 = 7.8e22. might be a sign of multiple epochs? 1T is the size of the dataset; they don't clearly state the number of training tokens"
Phi-1,2023-10-02,3.3234195e+20,,1.3,Confident,"6ND = 6 *1.3*10^9 parameters * 51 * 10^9 tokens = 3.978e+20

312000000000000 FLOP/s * 8 GPUs *103 hours *3600 sec / hour *0.3 [assumed utilization] = 2.7765504e+20

geometric mean sqrt(2.7765504e+20*3.978e+20) = 3.3234195e+20
"
TinyLlama-1.1B (1T token checkpoint),2023-10-01,7.24598784e+21,1000.0,1.1,Confident,"6ND approximation: 6*1.1B * 1T = 6600000000000000000000

Based on reported GPU-time and utilization:
flops = (num gpu) * (peak flops) * (time in seconds) * (reported utilization rate) = (16) * (312 * 10**12) * (30 * 24 * 3600) * (0.56) = 7245987840000001048576 = 7.24598784e+21


source: https://github.com/jzhang38/TinyLlama
""Thanks to those optimizations, we achieve a throughput of 24k tokens per second per A100-40G GPU, which translates to 56% model flops utilization""
and Releases Schedule from the same link"
TinyLlama-1.1B (3T token checkpoint),2023-10-01,2.173796352e+22,,1.1,Confident,"6ND approximation: 6*1.1B * 3T = 19800000000000000000000
Extrapolation from the 1T checkpoint:
flops = (16) * (312 * 10**12) * (3 * 30 * 24 * 3600) * (0.56) = 7245987840000001048576
(num gpu) * (peak flops) * (time in seconds) * (reported utilization rate)

source: https://github.com/jzhang38/TinyLlama
""Thanks to those optimizations, we achieve a throughput of 24k tokens per second per A100-40G GPU, which translates to 56% model flops utilization""
and Releases Schedule from the same link"
Qwen-14B,2023-09-28,2.5e+23,3000.0,14.0,Confident,"3T tokens per Table 1

14B*3T*6 = 2.5e23"
Qwen-7B,2023-09-28,1.01e+23,2400.0,7.0,Confident,"2.4T tokens per Table 1

7b*2.4T*6 = 1.01e23"
PLaMo-13B,2023-09-28,1.17e+23,1500.0,13.0,Confident,"6ND = 6*13e9*1.5e12=1.17e+23
from https://huggingface.co/pfnet/plamo-13b#model-details

480 GPUs * 30 days [assumed, likely less] * 24 hours * 3600 s * 77970000000000 FLOP/s * 41.0 [reported utilization] = 3.9772934e+24


"
BTLM-3B,2023-09-20,9.8e+21,627.0,2.6,Confident,2.6b params * 627b tokens * 6 = 9.8e21
Baichuan 2-7B,2023-09-20,1.092e+23,2600.0,7.0,Confident,"7b * 2.6t * 6 = 1.092e23
Also mentions 1,024 NVIDIA A800 GPUs at 180 TFLOPS per GPU"
DeciLM 6B,2023-09-13,1.026e+22,,5.7,Likely,"assume they used 50% of SlimPajama dataset (300B tokens) - then we are  within 'Likely' confidence interval

6*300B*5700000000=1.026e+22"
Persimmon-8B,2023-09-07,4.11246e+22,737.0,9.3,Confident,6*9300000000*737000000000=4.11246e+22
FLM-101B,2023-09-07,5.72e+22,311.54,101.0,Confident,"192 GPUs * 160 TFLOP/s per GPU (reported, adjusted for utilization) * 21.54 days * 24 * 3600 = 5.72e22 (confident)

6*101000000000*311540000000=1.8879324e+23 (less confident)"
Falcon-180B,2023-09-06,3.76e+24,3500.0,180.0,Confident,"43,500 petaflop-days per Table 1 of the paper

43500 * 1e15 * 24 * 3600 = 3.76e24


C = 6ND = 6 FLOP/token/parameter * 3.5 trillion tokens * 180 billion parameters = 3.78*10^24 FLOP"
Baichuan2-13B,2023-09-06,2.03e+23,2600.0,13.0,Confident,"They describe the dataset as having 2.6T tokens, but the checkpoint graph makes it clear that's also the number of tokens the model was trained on.

13b * 2.6t * 6 = 2.03e23"
Jais,2023-08-29,4.8946763e+22,395.0,13.0,Confident,"C = 6ND = 6 * 13 billion params * 395 billion tokens = 3.081e+22 FLOP

7500000000000000 FLOP / chip / sec * 16 chips *  600 hours [see training time notes] * 3600 sec / hour * 0.3 [assumed utilization] = 7.776e+22 FLOP

sqrt(3.081e+22*7.776e+22) = 4.8946763e+22 FLOP"
Refact-1.6B,2023-08-29,1.152e+22,1200.0,1.6,Likely,"6ND = 6 * 1.6B * 1.2T = 11520000000000000000000 = 1.152e22
citation ""model trained for 1.2T tokens. ""
alternative
flops = (64) * (27770 * 10**9) * (28 * 24 * 3600) * (0.3) = 1.2898787328e+21
(num gpu) * (peak flops) * (time in seconds) * (assumed utilization rate)
Precision: bfloat16
GPUs 64 NVidia A5000
Training time 28 days
27.77 TFLOPS - peak flop from https://www.techpowerup.com/gpu-specs/rtx-a5000.c3748"
PULI GPTrio,2023-08-23,5.8e+21,230.59047619,6.7,Confident,"8 A100s for three months

8 * 312 trillion * 24 * 3600 * 90 * 0.3 (utilization assumption) = 5.8e21"
DeciCoder-1B,2023-08-15,2.9e+21,446.0,1.1,Confident,446b * 1.1b * 6 = 2.9e21
Japanese StableLM Base Alpha 7B,2023-08-10,3.15e+22,750.0,7.0,Confident,"7b params, 750b tokens
7b * 750b * 6 = 3.15e22"
StableLM-Base-Alpha-7B,2023-08-05,4.5e+22,1100.0,6.89020928,Confident,"""StableLM-Base-Alpha-7B-v2 is pre-trained using a multi-stage context length extension schedule following similar work (Nijkamp et al. 2023); first pre-training at a context length of 2048 for 1 trillion tokens, then fine-tuning at a context length of 4096 for another 100B tokens""

6890209280 params * 1.1 trillion tokens * 6 = 4.5e22

alternatively: ""StableLM-Base-Alpha-7B-v2 was trained on the Stability AI cluster - occupying 384 NVIDIA A100 40GB GPUs across AWS P4d instances. Training took approximately 16.33 days to complete across both stages.""

312 teraflops * 384 * 16.33 * 24 * 3600 * 0.3 = 5.07e22"
Weblab-10B,2023-08-04,3.6e+22,256.131,10.0,Confident,"6ND = 10B*600B * 6 = 3.6e22"" The model was trained on around 600B tokens from a mixture of the following corpora.""

See also: https://weblab.t.u-tokyo.ac.jp/en/100%E5%84%84%E3%83%91%E3%83%A9%E3%83%A1%E3%83%BC%E3%82%BF%E3%82%B5%E3%82%A4%E3%82%BA%E3%83%BB%E6%97%A5%E8%8B%B12%E3%83%B6%E5%9B%BD%E8%AA%9E%E5%AF%BE%E5%BF%9C%E3%81%AE%E5%A4%A7%E8%A6%8F%E6%A8%A1/"
JIANG,2023-08-01,4.03e+22,466.72,,Confident,"""The training was conducted using 96 A100 80G GPUs, and the entire process took approximately 52 days.""

312 teraflop/s * 96 * 52 * 24 * 3600 * 0.3 = 4e22"
Llama 2-70B,2023-07-18,8.1e+23,2000.0,70.0,Confident,"""Pretraining utilized a cumulative 3.3M GPU hours of computation on hardware of type A100-80GB"" of which 1720320 GPU hours were used to train the 70B model.

311.84 BF16 TFLOP/s * 1720320 hours * 0.40 utilization = 7.725e+23 FLOP.

Alternatively: the model was trained for 1 epoch on 2 trillion tokens and has 70B parameters. C = 6ND = 6*70B*2T = 8.4e+23 FLOP."
Llama 2-7B,2023-07-18,8.4e+22,2000.0,7.0,Confident,"Trained on 2 trillion tokens per Table 1. 

C = 6ND = 6 FLOP / token / parameter * 7B parameters * 2T tokens = 8.4e+22 FLOP.

Also, 7B model was trained on 184320 GPU-hours

312 trillion * 184320 GPU-hours * 3600 sec/hour * 0.3 [utilization] = 6.21e22 FLOP"
Llama 2-13B,2023-07-18,1.6e+23,2000.0,13.0,Confident,13 billion parameters * 2 trillion tokens * 6 FLOP / token / parameter = 1.6e23 FLOP
Baichuan 1-13B,2023-07-11,9.36e+22,1400.0,13.26490112,Confident,13b parameters * 1.2t tokens * 6 FLOP / parameter / token = 9.36e22 FLOP
CodeGen2.5,2023-07-06,5.9e+22,300.0,7.0,Confident,"7B parameters, trained on 1.4T tokens

7 billion * 1.4 trillion * 6 = 5.9e22"
MPT-30B,2023-06-22,1.8900000000001e+23,1050.0,30.0,Confident,"According to their blog post,
""MPT-30B FLOPs ~= 6 * 30e9 [params] * 1.05e12 [tokens] = 1.89e23 FLOPs"""
RedPajama-INCITE-7B-Base,2023-06-06,4.1e+22,1001.0,6.9,Confident,"Trained over 1.001 trillion tokens.
6.9b * 1 trillion * 6 = 4.1e22

"
Polyglot-Ko-12.8B,2023-06-04,1.28e+22,95.793,12.89863168,Confident,"trained for 167 billion tokens

167b * 12.8b * 6 = 1.28e22"
Baichuan1-7B,2023-06-01,5.04e+22,1200.0,7.000559616,Confident,7b parameters * 1.2t tokens * 6 FLOP / parameter / token = 5.04e22 FLOP
StarCoder,2023-05-09,8.46e+22,203.75,15.5,Confident,"FLOP reported here, 8.46e22
https://huggingface.co/bigcode/starcoder


""We trained our model on a GPU cluster with 512 A100 80 GB GPUs... Based on the total number of GPU hours that training took (320,256) and an average power usage of 280W per GPU... The fine-tuned model adds 3.5% of training time""

320256 * 312 tFLOP/s * 3600 * 1.035 * 0.3 (utilization assumption) = 1.12e23"
MPT-7B,2023-05-05,4.2e+22,,7.0,Confident,"""As shown in Table 3, nearly all of the training budget was spent on the base MPT-7B model, which took ~9.5 days to train on 440xA100-40GB GPUs, and cost ~$200k."""
OpenLLaMA-13B,2023-05-01,7.8e+22,1000.0,13.0,Confident,13b * 1T * 6 = 7.8e22
Falcon-7B,2023-04-24,6.3e+22,1500.0,7.0,Confident,"6ND = 6 * 7B * 1.5T = 6.3e22
""Falcon-7B is a 7B parameters causal decoder-only model built by TII and trained on 1,500B tokens of RefinedWeb enhanced with curated corpora. It is made available under the Apache 2.0 license.""

Table 1 from https://arxiv.org/pdf/2311.16867 Falcon paper

730 petaflop-days * 1e15 * 24 * 3600 = 6.3072e+22 FLOPs"
ruGPT-3.5 13B,2023-04-24,1.0699776e+23,300.0,13.0,Confident,"""Model was trained using Deepspeed and Megatron libraries, on 300B tokens dataset for 3 epochs, around 45 days on 512 V100. After that model was finetuned 1 epoch with sequence length 2048 around 20 days on 200 GPU A100 on additional data""

512 GPUs * 125000000000000 FLOPs/s [peak] * 45 days * 24 hours * 3600 s * 0.3 + 200 GPUs * 312000000000000 FLOPs/s [peak for fp16] * 20 days * 24 hours * 3600 s * 0.3 = 1.0699776e+23

they probably used fp16 as in their similar project: https://habr.com/ru/companies/sberdevices/articles/780334/

6ND = 6*13B*300B*3 = 70200*10^18 = 7*10^24"
Incoder-6.7B,2023-04-09,3.00001e+21,52.0,6.7,Confident,"per table 5, required 3 zettaflop (3e21) to train.

also, ""INCODER-6.7B was trained on 248 V100 GPUs for 24 days""

hardware method: 125 trillion * 248 * 24 * 24 * 3600 * 0.3 = 2e22. suggests their utilization was quite low, or 24 days was just calendar time.
"
Cerebras-GPT-13B,2023-04-06,2.3e+22,257.1,13.0,Confident,"2.3e22, per table 2"
Pythia-12b,2023-04-03,2.1590000000001e+22,299.892736,12.0,Confident,https://www.wolframalpha.com/input?i=6+FLOP+*+12+billion+*+299892736000
Pythia-2.8b,2023-04-03,5.038000000001e+21,299.892736,2.8,Confident,https://www.wolframalpha.com/input?i=6+FLOP+*+2.8+billion+*+299892736000
Pythia-6.9b,2023-04-03,1.2420000000001e+22,299.892736,6.9,Confident,https://www.wolframalpha.com/input?i=6+FLOP+*+6.9+billion+*+299892736000
Pythia-160m,2023-04-03,2.87900000001e+20,299.892736,0.16,Confident,"https://www.wolframalpha.com/input?i=6+FLOP+*+160+million+*+299892736000

Table 5 gives confirmation:
1030 GPU-hours * 3600 sec/hr * 3.12e14 FLOP/sec * 0.3 (utilization assumption) = 3.5e20"
Pythia-1b,2023-04-03,1.799000000001e+21,299.892736,1.0,Confident,https://www.wolframalpha.com/input?i=6+FLOP+*+1+billion+*+299892736000
Pythia-1.4b,2023-04-03,2.5190000000001e+21,299.892736,1.4,Confident,https://www.wolframalpha.com/input?i=6+FLOP+*+1.4+billion+*+299892736000
Pythia-70m,2023-04-03,1.26000000001e+20,299.892736,0.07,Confident,https://www.wolframalpha.com/input?i=6+FLOP+*+70+million+*+299892736000
Pythia-410m,2023-04-03,7.37700000001e+20,299.892736,0.41,Confident,https://www.wolframalpha.com/input?i=6+FLOP+*+410+million+*+299892736000
CPM-Bee,2023-03-24,6.012e+22,140.066666667,10.0,Confident,6 FLOP / parameter / token * 10*10e9 parameters * 1.002e11 tokens [see training dataset size notes] = 6.012e22 FLOP
Falcon-40B,2023-03-15,2.4e+23,1000.0,40.0,Confident,"C = 6ND = 6 * 40B * 1000B = 2.4e+23 FLOP (assuming one epoch)

Table 1 from https://arxiv.org/pdf/2311.16867 Falcon paper

2,800 petaflop-days * 1e15 * 24 * 3600 = 2.4192e+23 FLOPs"
gpt-sw3-40b,2023-03-01,7.68e+22,,40.0,Confident,"aproximation 6ND = 6*320E9*40e9 = 7.68e22
""GPT-SW3 has been trained on a dataset containing 320B tokens in Swedish, Norwegian, Danish, Icelandic, English, and programming code."""
LLaMA-13B,2023-02-27,7.8e+22,1000.0,13.0,Confident,"1T tokens * 13B parameters * 6 FLOP/token/parameter = 7.8e22

from paper, Llama-13B took 135,168 GPU hours using A100s

312 trillion * 135,168 * 3600 = 1.518e23 FLOPs at full utilization
This implies that the actual utilization was:
MFU = 7.8e22/1.518e23 = 0.514"
LLaMA-33B,2023-02-27,2.7300000000001e+23,1400.0,32.5,Confident,1.4T tokens * 32.5B params * 6 FLOP/token/param = 2.73e+23 FLOP
LLaMA-65B,2023-02-24,5.5e+23,1400.0,65.2,Confident,1.4e12 tokens * 6.52e10 parameters * 6 FLOP/token/parameter = 5.5e23 FLOP
LLaMA-7B,2023-02-24,4.00000001e+22,1000.0,6.7,Confident,"1T tokens * 6.7B parameters * 6 FLOP/token/parameter = 4e22 FLOP
"
Hyena-2 153M,2023-02-21,1.87e+19,15.0,0.153,Confident,"Table 3: 1.87*10^19 FLOP

6 FLOP / parameter / token * 153 * 10^6 parameters * 15 * 10^9 tokens = 1.377e+19 FLOP"
SantaCoder,2023-01-09,2.1e+21,,1.1,Confident,Each training run takes 3.1 days to complete on 96 Tesla V100 GPUs for a total of 1.05 × 10^21 FLOPs. The final model described in Section 6.2 uses twice the amount of compute.
Hybrid H3-2.7B,2022-12-28,6.48e+21,400.0,2.7,Likely,"6 FLOP/token/parameter * 400000000000 training tokens * 2700000000 parameters = 6.48e+21 FLOP

___________________
in the algorithmic progress paper the estimation was 8.49 × 10^20 based on the assumption of WT-103 dataset and 509 epochs"
Galactica,2022-11-16,3.24e+23,106.0,120.0,Likely,"Authors state the model is trained on 450b tokens. Using 6 FLOP/token/parameter, this is 6*120b*450b = 3.24e23"
"CPM-Ant
",2022-09-22,2.004e+22,33.4,10.0,Confident,6 FLOP / parameter / token * 10*10e9 parameters * 3.34e10 tokens [see training dataset size notes] = 2.004e+22 FLOP
GLM-130B,2022-08-04,3.5490054945e+23,152.0,130.0,Confident,"""96 NVIDIA A100 (40G * 8) servers for 2 months""

312 TFLOPS/GPU * 96 servers * 8 GPU/server * 2 months * 32.5% utilization = 4.037e23

utilization rate - citation from the paper: ""we report hardware FLOPs utilization (HFU) of 43.3% and model FLOPs utilization (MFU) of 32.5% due to re-materialization.""

Aligns pretty well with 6ND:
6 * 400B * 130B = 3.12E23

Geometric mean: sqrt(4.037e23 * 3.12e23) = 3.549e23"
BLOOM-176B,2022-07-11,3.65664e+23,379.0,176.247271424,Confident,"https://bigscience.huggingface.co/blog/bloom Blog post says 117 days.

384 A100 GPUs * 314 TFLOPS throughput per GPU * 117 days * 0.3 (utilization assumption) = 3.65664e23
https://www.wolframalpha.com/input?i=384+*+314+TFLOPS+*+117+days+*+0.3"
BLOOM-7.1B,2022-07-05,1.5014556e+22,354.0,7.07,Confident,6 FLOP / token / parameter * 7070000000 parameters * 354000000000 tokens = 1.501668 × 10^22 FLOP
CodeT5-large,2022-07-05,2.72e+21,10.5,0.77,Likely,"""We perform our experiments on a kubernetes with 16 A100-40G GPUs on Google Cloud Platform and the total pretraining duration is around 21 days""

16 * 312tFLOP/s * 21 * 24 * 3600 * 0.3 (utilization assumption) = 2.72e21"
YaLM,2022-06-23,2.2e+23,300.0,100.0,Likely,"""It took us 65 days to train the model on a pool of 800 A100 graphics cards and 1.7 TB of online texts, books, and countless other sources."""
CodeGeeX,2022-06-22,6.630000000001e+22,850.0,13.0,Confident,"Assume 1 epoch on 850B tokens.
C=6DN=6*850B*13B
https://www.wolframalpha.com/input?i=6+*+13+billion+*+850+billion"
OPT-6.7B,2022-06-21,1.2060000000001e+22,180.0,6.7,Confident,"https://www.wolframalpha.com/input?i=6+FLOP+*+6.7+billion+*+300+billion

4.3e+23 (175B exact compute) * 6.7B/175B = 1.6462857e+22"
OPT-66B,2022-06-21,1.100000000001e+23,180.0,66.0,Confident,"OPT-66B was trained for 140k steps, using a batch size of 2M tokens (see the OPT baselines logbook and Table 1 in Zhang et al. (2022), respectively), so training took 140e3 ∗ 2e6 ∗ 66e9 ∗ 6 = 1.1e23 FLOP"
OPT-30B,2022-06-21,5.4000000000001e+22,180.0,30.0,Confident,https://www.wolframalpha.com/input?i=6+FLOP+*+30+billion+*+300+billion
